typename,ntype,year,month,nattack,day,country,idate
Explosives/Bombs/Dynamite,3,2006,4,20,1,AFG,2006/4/1
Explosives/Bombs/Dynamite,3,2006,5,11,1,AFG,2006/5/1
Explosives/Bombs/Dynamite,3,2006,6,10,1,AFG,2006/6/1
Explosives/Bombs/Dynamite,3,2006,7,30,1,AFG,2006/7/1
Explosives/Bombs/Dynamite,3,2006,8,14,1,AFG,2006/8/1
Explosives/Bombs/Dynamite,3,2006,9,13,1,AFG,2006/9/1
Explosives/Bombs/Dynamite,3,2006,10,15,1,AFG,2006/10/1
Explosives/Bombs/Dynamite,3,2006,11,4,1,AFG,2006/11/1
Explosives/Bombs/Dynamite,3,2006,12,8,1,AFG,2006/12/1
Explosives/Bombs/Dynamite,3,2007,1,6,1,AFG,2007/1/1
Explosives/Bombs/Dynamite,3,2007,2,9,1,AFG,2007/2/1
Explosives/Bombs/Dynamite,3,2007,3,9,1,AFG,2007/3/1
Explosives/Bombs/Dynamite,3,2007,4,13,1,AFG,2007/4/1
Explosives/Bombs/Dynamite,3,2007,5,16,1,AFG,2007/5/1
Explosives/Bombs/Dynamite,3,2007,6,38,1,AFG,2007/6/1
Explosives/Bombs/Dynamite,3,2007,7,15,1,AFG,2007/7/1
Explosives/Bombs/Dynamite,3,2007,8,16,1,AFG,2007/8/1
Explosives/Bombs/Dynamite,3,2007,9,16,1,AFG,2007/9/1
Explosives/Bombs/Dynamite,3,2007,10,12,1,AFG,2007/10/1
Explosives/Bombs/Dynamite,3,2007,11,20,1,AFG,2007/11/1
Explosives/Bombs/Dynamite,3,2007,12,15,1,AFG,2007/12/1
Explosives/Bombs/Dynamite,3,2008,1,27,1,AFG,2008/1/1
Explosives/Bombs/Dynamite,3,2008,2,10,1,AFG,2008/2/1
Explosives/Bombs/Dynamite,3,2008,3,28,1,AFG,2008/3/1
Explosives/Bombs/Dynamite,3,2008,4,17,1,AFG,2008/4/1
Explosives/Bombs/Dynamite,3,2008,5,15,1,AFG,2008/5/1
Explosives/Bombs/Dynamite,3,2008,6,19,1,AFG,2008/6/1
Explosives/Bombs/Dynamite,3,2008,7,15,1,AFG,2008/7/1
Explosives/Bombs/Dynamite,3,2008,8,11,1,AFG,2008/8/1
Explosives/Bombs/Dynamite,3,2008,9,18,1,AFG,2008/9/1
Explosives/Bombs/Dynamite,3,2008,10,16,1,AFG,2008/10/1
Explosives/Bombs/Dynamite,3,2008,11,14,1,AFG,2008/11/1
Explosives/Bombs/Dynamite,3,2008,12,11,1,AFG,2008/12/1
Explosives/Bombs/Dynamite,3,2009,1,9,1,AFG,2009/1/1
Explosives/Bombs/Dynamite,3,2009,2,15,1,AFG,2009/2/1
Explosives/Bombs/Dynamite,3,2009,3,21,1,AFG,2009/3/1
Explosives/Bombs/Dynamite,3,2009,4,12,1,AFG,2009/4/1
Explosives/Bombs/Dynamite,3,2009,5,32,1,AFG,2009/5/1
Explosives/Bombs/Dynamite,3,2009,6,33,1,AFG,2009/6/1
Explosives/Bombs/Dynamite,3,2009,7,46,1,AFG,2009/7/1
Explosives/Bombs/Dynamite,3,2009,8,51,1,AFG,2009/8/1
Explosives/Bombs/Dynamite,3,2009,9,28,1,AFG,2009/9/1
Explosives/Bombs/Dynamite,3,2009,10,18,1,AFG,2009/10/1
Explosives/Bombs/Dynamite,3,2009,11,17,1,AFG,2009/11/1
Explosives/Bombs/Dynamite,3,2009,12,17,1,AFG,2009/12/1
Explosives/Bombs/Dynamite,3,2010,1,21,1,AFG,2010/1/1
Explosives/Bombs/Dynamite,3,2010,2,16,1,AFG,2010/2/1
Explosives/Bombs/Dynamite,3,2010,3,17,1,AFG,2010/3/1
Explosives/Bombs/Dynamite,3,2010,4,15,1,AFG,2010/4/1
Explosives/Bombs/Dynamite,3,2010,5,40,1,AFG,2010/5/1
Explosives/Bombs/Dynamite,3,2010,6,24,1,AFG,2010/6/1
Explosives/Bombs/Dynamite,3,2010,7,17,1,AFG,2010/7/1
Explosives/Bombs/Dynamite,3,2010,8,30,1,AFG,2010/8/1
Explosives/Bombs/Dynamite,3,2010,9,71,1,AFG,2010/9/1
Explosives/Bombs/Dynamite,3,2010,10,14,1,AFG,2010/10/1
Explosives/Bombs/Dynamite,3,2010,11,18,1,AFG,2010/11/1
Explosives/Bombs/Dynamite,3,2010,12,15,1,AFG,2010/12/1
Explosives/Bombs/Dynamite,3,2011,1,11,1,AFG,2011/1/1
Explosives/Bombs/Dynamite,3,2011,2,21,1,AFG,2011/2/1
Explosives/Bombs/Dynamite,3,2011,3,10,1,AFG,2011/3/1
Explosives/Bombs/Dynamite,3,2011,4,8,1,AFG,2011/4/1
Explosives/Bombs/Dynamite,3,2011,5,19,1,AFG,2011/5/1
Explosives/Bombs/Dynamite,3,2011,6,18,1,AFG,2011/6/1
Explosives/Bombs/Dynamite,3,2011,7,16,1,AFG,2011/7/1
Explosives/Bombs/Dynamite,3,2011,8,17,1,AFG,2011/8/1
Explosives/Bombs/Dynamite,3,2011,9,21,1,AFG,2011/9/1
Explosives/Bombs/Dynamite,3,2011,10,22,1,AFG,2011/10/1
Explosives/Bombs/Dynamite,3,2011,11,64,1,AFG,2011/11/1
Explosives/Bombs/Dynamite,3,2011,12,40,1,AFG,2011/12/1
Explosives/Bombs/Dynamite,3,2012,1,74,1,AFG,2012/1/1
Explosives/Bombs/Dynamite,3,2012,2,49,1,AFG,2012/2/1
Explosives/Bombs/Dynamite,3,2012,3,68,1,AFG,2012/3/1
Explosives/Bombs/Dynamite,3,2012,4,108,1,AFG,2012/4/1
Explosives/Bombs/Dynamite,3,2012,5,126,1,AFG,2012/5/1
Explosives/Bombs/Dynamite,3,2012,6,122,1,AFG,2012/6/1
Explosives/Bombs/Dynamite,3,2012,7,88,1,AFG,2012/7/1
Explosives/Bombs/Dynamite,3,2012,8,76,1,AFG,2012/8/1
Explosives/Bombs/Dynamite,3,2012,9,61,1,AFG,2012/9/1
Explosives/Bombs/Dynamite,3,2012,10,75,1,AFG,2012/10/1
Explosives/Bombs/Dynamite,3,2012,11,54,1,AFG,2012/11/1
Explosives/Bombs/Dynamite,3,2012,12,36,1,AFG,2012/12/1
Explosives/Bombs/Dynamite,3,2013,1,42,1,AFG,2013/1/1
Explosives/Bombs/Dynamite,3,2013,2,54,1,AFG,2013/2/1
Explosives/Bombs/Dynamite,3,2013,3,62,1,AFG,2013/3/1
Explosives/Bombs/Dynamite,3,2013,4,60,1,AFG,2013/4/1
Explosives/Bombs/Dynamite,3,2013,5,84,1,AFG,2013/5/1
Explosives/Bombs/Dynamite,3,2013,6,89,1,AFG,2013/6/1
Explosives/Bombs/Dynamite,3,2013,7,111,1,AFG,2013/7/1
Explosives/Bombs/Dynamite,3,2013,8,88,1,AFG,2013/8/1
Explosives/Bombs/Dynamite,3,2013,9,75,1,AFG,2013/9/1
Explosives/Bombs/Dynamite,3,2013,10,75,1,AFG,2013/10/1
Explosives/Bombs/Dynamite,3,2013,11,63,1,AFG,2013/11/1
Explosives/Bombs/Dynamite,3,2013,12,70,1,AFG,2013/12/1
Explosives/Bombs/Dynamite,3,2014,1,61,1,AFG,2014/1/1
Explosives/Bombs/Dynamite,3,2014,2,72,1,AFG,2014/2/1
Explosives/Bombs/Dynamite,3,2014,3,100,1,AFG,2014/3/1
Explosives/Bombs/Dynamite,3,2014,4,101,1,AFG,2014/4/1
Explosives/Bombs/Dynamite,3,2014,5,126,1,AFG,2014/5/1
Explosives/Bombs/Dynamite,3,2014,6,111,1,AFG,2014/6/1
Explosives/Bombs/Dynamite,3,2014,7,80,1,AFG,2014/7/1
Explosives/Bombs/Dynamite,3,2014,8,83,1,AFG,2014/8/1
Explosives/Bombs/Dynamite,3,2014,9,89,1,AFG,2014/9/1
Explosives/Bombs/Dynamite,3,2014,10,76,1,AFG,2014/10/1
Explosives/Bombs/Dynamite,3,2014,11,74,1,AFG,2014/11/1
Explosives/Bombs/Dynamite,3,2014,12,108,1,AFG,2014/12/1
Firearms,5,1992,1,3,1,AFG,1992/1/1
Firearms,5,1992,2,1,1,AFG,1992/2/1
Firearms,5,1992,4,2,1,AFG,1992/4/1
Firearms,5,1992,5,4,1,AFG,1992/5/1
Firearms,5,1992,6,1,1,AFG,1992/6/1
Firearms,5,1992,7,2,1,AFG,1992/7/1
Firearms,5,1992,9,2,1,AFG,1992/9/1
Firearms,5,1992,11,1,1,AFG,1992/11/1
Firearms,5,1992,12,2,1,AFG,1992/12/1
Firearms,5,1994,3,1,1,AFG,1994/3/1
Firearms,5,1994,7,1,1,AFG,1994/7/1
Firearms,5,1996,11,1,1,AFG,1996/11/1
Firearms,5,1999,11,2,1,AFG,1999/11/1
Firearms,5,2000,8,1,1,AFG,2000/8/1
Firearms,5,2001,1,1,1,AFG,2001/1/1
Firearms,5,2001,12,1,1,AFG,2001/12/1
Firearms,5,2002,1,1,1,AFG,2002/1/1
Firearms,5,2002,4,3,1,AFG,2002/4/1
Firearms,5,2002,7,1,1,AFG,2002/7/1
Firearms,5,2002,9,1,1,AFG,2002/9/1
Firearms,5,2003,1,1,1,AFG,2003/1/1
Firearms,5,2003,2,2,1,AFG,2003/2/1
Firearms,5,2003,3,1,1,AFG,2003/3/1
Firearms,5,2003,4,3,1,AFG,2003/4/1
Firearms,5,2003,5,2,1,AFG,2003/5/1
Firearms,5,2003,7,4,1,AFG,2003/7/1
Firearms,5,2003,8,1,1,AFG,2003/8/1
Firearms,5,2003,9,4,1,AFG,2003/9/1
Firearms,5,2003,10,1,1,AFG,2003/10/1
Firearms,5,2003,11,3,1,AFG,2003/11/1
Firearms,5,2003,12,1,1,AFG,2003/12/1
Firearms,5,2004,1,5,1,AFG,2004/1/1
Firearms,5,2004,3,3,1,AFG,2004/3/1
Firearms,5,2004,4,4,1,AFG,2004/4/1
Firearms,5,2004,5,1,1,AFG,2004/5/1
Firearms,5,2004,6,9,1,AFG,2004/6/1
Firearms,5,2004,7,2,1,AFG,2004/7/1
Firearms,5,2004,9,1,1,AFG,2004/9/1
Firearms,5,2004,10,6,1,AFG,2004/10/1
Firearms,5,2004,11,2,1,AFG,2004/11/1
Firearms,5,2004,12,1,1,AFG,2004/12/1
Firearms,5,2005,1,1,1,AFG,2005/1/1
Firearms,5,2005,2,2,1,AFG,2005/2/1
Firearms,5,2005,3,1,1,AFG,2005/3/1
Firearms,5,2005,4,2,1,AFG,2005/4/1
Firearms,5,2005,5,5,1,AFG,2005/5/1
Firearms,5,2005,6,1,1,AFG,2005/6/1
Firearms,5,2005,7,13,1,AFG,2005/7/1
Firearms,5,2005,8,12,1,AFG,2005/8/1
Firearms,5,2005,9,6,1,AFG,2005/9/1
Firearms,5,2005,10,10,1,AFG,2005/10/1
Firearms,5,2005,11,5,1,AFG,2005/11/1
Firearms,5,2005,12,4,1,AFG,2005/12/1
Firearms,5,2006,1,3,1,AFG,2006/1/1
Firearms,5,2006,2,10,1,AFG,2006/2/1
Firearms,5,2006,3,2,1,AFG,2006/3/1
Firearms,5,2006,4,16,1,AFG,2006/4/1
Firearms,5,2006,5,19,1,AFG,2006/5/1
Firearms,5,2006,6,4,1,AFG,2006/6/1
Firearms,5,2006,7,11,1,AFG,2006/7/1
Firearms,5,2006,8,4,1,AFG,2006/8/1
Firearms,5,2006,9,6,1,AFG,2006/9/1
Firearms,5,2006,10,7,1,AFG,2006/10/1
Firearms,5,2006,11,6,1,AFG,2006/11/1
Firearms,5,2006,12,2,1,AFG,2006/12/1
Firearms,5,2007,1,7,1,AFG,2007/1/1
Firearms,5,2007,2,8,1,AFG,2007/2/1
Firearms,5,2007,3,5,1,AFG,2007/3/1
Firearms,5,2007,4,13,1,AFG,2007/4/1
Firearms,5,2007,5,1,1,AFG,2007/5/1
Firearms,5,2007,6,19,1,AFG,2007/6/1
Firearms,5,2007,7,12,1,AFG,2007/7/1
Firearms,5,2007,8,10,1,AFG,2007/8/1
Firearms,5,2007,9,5,1,AFG,2007/9/1
Firearms,5,2007,10,1,1,AFG,2007/10/1
Firearms,5,2007,11,30,1,AFG,2007/11/1
Firearms,5,2007,12,9,1,AFG,2007/12/1
Firearms,5,2008,1,8,1,AFG,2008/1/1
Firearms,5,2008,2,1,1,AFG,2008/2/1
Firearms,5,2008,3,10,1,AFG,2008/3/1
Firearms,5,2008,4,8,1,AFG,2008/4/1
Firearms,5,2008,5,14,1,AFG,2008/5/1
Firearms,5,2008,6,17,1,AFG,2008/6/1
Firearms,5,2008,7,18,1,AFG,2008/7/1
Firearms,5,2008,8,12,1,AFG,2008/8/1
Firearms,5,2008,9,12,1,AFG,2008/9/1
Firearms,5,2008,10,12,1,AFG,2008/10/1
Firearms,5,2008,11,9,1,AFG,2008/11/1
Firearms,5,2008,12,5,1,AFG,2008/12/1
Firearms,5,2009,1,8,1,AFG,2009/1/1
Firearms,5,2009,2,7,1,AFG,2009/2/1
Firearms,5,2009,3,8,1,AFG,2009/3/1
Firearms,5,2009,4,7,1,AFG,2009/4/1
Firearms,5,2009,5,16,1,AFG,2009/5/1
Firearms,5,2009,6,12,1,AFG,2009/6/1
Firearms,5,2009,7,24,1,AFG,2009/7/1
Firearms,5,2009,8,18,1,AFG,2009/8/1
Firearms,5,2009,9,13,1,AFG,2009/9/1
Firearms,5,2009,10,5,1,AFG,2009/10/1
Firearms,5,2009,11,5,1,AFG,2009/11/1
Firearms,5,2009,12,3,1,AFG,2009/12/1
Firearms,5,2010,1,4,1,AFG,2010/1/1
Firearms,5,2010,2,7,1,AFG,2010/2/1
Firearms,5,2010,3,10,1,AFG,2010/3/1
Firearms,5,2010,4,9,1,AFG,2010/4/1
Firearms,5,2010,5,19,1,AFG,2010/5/1
Firearms,5,2010,6,11,1,AFG,2010/6/1
Firearms,5,2010,7,11,1,AFG,2010/7/1
Firearms,5,2010,8,14,1,AFG,2010/8/1
Firearms,5,2010,9,17,1,AFG,2010/9/1
Firearms,5,2010,10,10,1,AFG,2010/10/1
Firearms,5,2010,11,8,1,AFG,2010/11/1
Firearms,5,2010,12,7,1,AFG,2010/12/1
Firearms,5,2011,1,5,1,AFG,2011/1/1
Firearms,5,2011,2,2,1,AFG,2011/2/1
Firearms,5,2011,3,1,1,AFG,2011/3/1
Firearms,5,2011,4,4,1,AFG,2011/4/1
Firearms,5,2011,5,8,1,AFG,2011/5/1
Firearms,5,2011,6,12,1,AFG,2011/6/1
Firearms,5,2011,7,10,1,AFG,2011/7/1
Firearms,5,2011,8,2,1,AFG,2011/8/1
Firearms,5,2011,9,15,1,AFG,2011/9/1
Firearms,5,2011,10,12,1,AFG,2011/10/1
Firearms,5,2011,11,15,1,AFG,2011/11/1
Firearms,5,2011,12,10,1,AFG,2011/12/1
Firearms,5,2012,1,18,1,AFG,2012/1/1
Firearms,5,2012,2,20,1,AFG,2012/2/1
Firearms,5,2012,3,29,1,AFG,2012/3/1
Firearms,5,2012,4,46,1,AFG,2012/4/1
Firearms,5,2012,5,51,1,AFG,2012/5/1
Firearms,5,2012,6,52,1,AFG,2012/6/1
Firearms,5,2012,7,37,1,AFG,2012/7/1
Firearms,5,2012,8,29,1,AFG,2012/8/1
Firearms,5,2012,9,24,1,AFG,2012/9/1
Firearms,5,2012,10,40,1,AFG,2012/10/1
Firearms,5,2012,11,28,1,AFG,2012/11/1
Firearms,5,2012,12,30,1,AFG,2012/12/1
Firearms,5,2013,1,29,1,AFG,2013/1/1
Firearms,5,2013,2,11,1,AFG,2013/2/1
Firearms,5,2013,3,32,1,AFG,2013/3/1
Firearms,5,2013,4,42,1,AFG,2013/4/1
Firearms,5,2013,5,56,1,AFG,2013/5/1
Firearms,5,2013,6,41,1,AFG,2013/6/1
Firearms,5,2013,7,40,1,AFG,2013/7/1
Firearms,5,2013,8,45,1,AFG,2013/8/1
Firearms,5,2013,9,59,1,AFG,2013/9/1
Firearms,5,2013,10,33,1,AFG,2013/10/1
Firearms,5,2013,11,20,1,AFG,2013/11/1
Firearms,5,2013,12,27,1,AFG,2013/12/1
Firearms,5,2014,1,26,1,AFG,2014/1/1
Firearms,5,2014,2,25,1,AFG,2014/2/1
Firearms,5,2014,3,29,1,AFG,2014/3/1
Firearms,5,2014,4,43,1,AFG,2014/4/1
Firearms,5,2014,5,46,1,AFG,2014/5/1
Firearms,5,2014,6,45,1,AFG,2014/6/1
Firearms,5,2014,7,49,1,AFG,2014/7/1
Firearms,5,2014,8,62,1,AFG,2014/8/1
Firearms,5,2014,9,49,1,AFG,2014/9/1
Firearms,5,2014,10,33,1,AFG,2014/10/1
Firearms,5,2014,11,32,1,AFG,2014/11/1
Firearms,5,2014,12,34,1,AFG,2014/12/1
Incendiary,6,1992,12,3,1,AFG,1992/12/1
Incendiary,6,2001,8,1,1,AFG,2001/8/1
Incendiary,6,2001,9,1,1,AFG,2001/9/1
Incendiary,6,2003,3,1,1,AFG,2003/3/1
Incendiary,6,2003,6,1,1,AFG,2003/6/1
Incendiary,6,2003,8,1,1,AFG,2003/8/1
Incendiary,6,2003,9,1,1,AFG,2003/9/1
Incendiary,6,2003,12,1,1,AFG,2003/12/1
Incendiary,6,2004,6,1,1,AFG,2004/6/1
Incendiary,6,2004,9,1,1,AFG,2004/9/1
Incendiary,6,2005,5,1,1,AFG,2005/5/1
Incendiary,6,2005,6,2,1,AFG,2005/6/1
Incendiary,6,2005,8,1,1,AFG,2005/8/1
Incendiary,6,2005,10,1,1,AFG,2005/10/1
Incendiary,6,2005,12,1,1,AFG,2005/12/1
Incendiary,6,2006,1,5,1,AFG,2006/1/1
Incendiary,6,2006,2,3,1,AFG,2006/2/1
Incendiary,6,2006,4,3,1,AFG,2006/4/1
Incendiary,6,2006,5,2,1,AFG,2006/5/1
Incendiary,6,2006,8,1,1,AFG,2006/8/1
Incendiary,6,2006,10,2,1,AFG,2006/10/1
Incendiary,6,2006,12,1,1,AFG,2006/12/1
Incendiary,6,2007,1,2,1,AFG,2007/1/1
Incendiary,6,2007,4,2,1,AFG,2007/4/1
Incendiary,6,2007,6,2,1,AFG,2007/6/1
Incendiary,6,2007,9,1,1,AFG,2007/9/1
Incendiary,6,2007,11,1,1,AFG,2007/11/1
Incendiary,6,2008,1,1,1,AFG,2008/1/1
Incendiary,6,2008,3,4,1,AFG,2008/3/1
Incendiary,6,2008,4,3,1,AFG,2008/4/1
Incendiary,6,2008,5,1,1,AFG,2008/5/1
Incendiary,6,2008,6,3,1,AFG,2008/6/1
Incendiary,6,2008,7,5,1,AFG,2008/7/1
Incendiary,6,2008,8,3,1,AFG,2008/8/1
Incendiary,6,2008,10,1,1,AFG,2008/10/1
Incendiary,6,2008,11,2,1,AFG,2008/11/1
Incendiary,6,2009,1,1,1,AFG,2009/1/1
Incendiary,6,2009,2,2,1,AFG,2009/2/1
Incendiary,6,2009,3,2,1,AFG,2009/3/1
Incendiary,6,2009,4,2,1,AFG,2009/4/1
Incendiary,6,2009,6,2,1,AFG,2009/6/1
Incendiary,6,2009,7,3,1,AFG,2009/7/1
Incendiary,6,2009,8,5,1,AFG,2009/8/1
Incendiary,6,2009,9,1,1,AFG,2009/9/1
Incendiary,6,2009,10,3,1,AFG,2009/10/1
Incendiary,6,2009,11,3,1,AFG,2009/11/1
Incendiary,6,2009,12,3,1,AFG,2009/12/1
Incendiary,6,2010,3,3,1,AFG,2010/3/1
Incendiary,6,2010,4,1,1,AFG,2010/4/1
Incendiary,6,2010,5,1,1,AFG,2010/5/1
Incendiary,6,2010,6,5,1,AFG,2010/6/1
Incendiary,6,2010,9,2,1,AFG,2010/9/1
Incendiary,6,2010,11,1,1,AFG,2010/11/1
Incendiary,6,2010,12,2,1,AFG,2010/12/1
Incendiary,6,2011,3,1,1,AFG,2011/3/1
Incendiary,6,2011,5,3,1,AFG,2011/5/1
Incendiary,6,2011,9,1,1,AFG,2011/9/1
Incendiary,6,2012,3,4,1,AFG,2012/3/1
Incendiary,6,2012,4,2,1,AFG,2012/4/1
Incendiary,6,2012,5,3,1,AFG,2012/5/1
Incendiary,6,2012,6,3,1,AFG,2012/6/1
Incendiary,6,2012,7,2,1,AFG,2012/7/1
Incendiary,6,2012,8,1,1,AFG,2012/8/1
Incendiary,6,2012,9,1,1,AFG,2012/9/1
Incendiary,6,2012,10,1,1,AFG,2012/10/1
Incendiary,6,2012,11,2,1,AFG,2012/11/1
Incendiary,6,2013,1,3,1,AFG,2013/1/1
Incendiary,6,2013,2,2,1,AFG,2013/2/1
Incendiary,6,2013,4,1,1,AFG,2013/4/1
Incendiary,6,2013,5,3,1,AFG,2013/5/1
Incendiary,6,2013,6,1,1,AFG,2013/6/1
Incendiary,6,2013,7,1,1,AFG,2013/7/1
Incendiary,6,2013,11,10,1,AFG,2013/11/1
Incendiary,6,2013,12,1,1,AFG,2013/12/1
Incendiary,6,2014,1,1,1,AFG,2014/1/1
Incendiary,6,2014,5,1,1,AFG,2014/5/1
Incendiary,6,2014,7,2,1,AFG,2014/7/1
Incendiary,6,2014,8,3,1,AFG,2014/8/1
Incendiary,6,2014,9,11,1,AFG,2014/9/1
Incendiary,6,2014,11,2,1,AFG,2014/11/1
